,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
4732,32,208.28,129.27372,3,0,0.7,0,-15.4,0,0.125,0.184,0,0
4733,21,195.58,95.25432,1,0,0,0,26.6,0,0,0.275,0,0
4734,30,200.66,110.676448,32,15,3.1,1.7,-3.4,0.021,0.111,0.249,0.54,0.107
4735,28,205.74,102.0582,48,9.2,2.9,0.5,-1.3,0.035,0.146,0.19,0.625,0.049
4736,24,205.74,113.398,8,2.9,1.4,0.5,-14.3,0.057,0.091,0.146,0.441,0.082
4737,28,190.5,74.389088,81,9.6,2,1.5,-3,0.017,0.085,0.204,0.516,0.112
4738,24,187.96,88.45044,7,0,1,1.3,-10.8,0.065,0.085,0.061,0,0.3
4739,25,190.5,91.171992,74,11.3,2.1,1.5,-6.3,0.027,0.076,0.255,0.458,0.111
4740,24,200.66,102.0582,64,4.4,1.7,0.9,2.1,0.025,0.077,0.127,0.45,0.068
4741,26,228.6,140.61352,48,25,9.4,2,9.3,0.076,0.238,0.331,0.601,0.115
4742,20,205.74,92.079176,10,1.2,0.3,0.4,-24.4,0.02,0.083,0.218,0.322,0.19
4743,25,205.74,97.52228,68,23.6,10.1,2.2,-4.9,0.101,0.257,0.33,0.537,0.126
4744,26,208.28,106.140528,55,6.6,3.3,1.2,-6.3,0.062,0.152,0.189,0.518,0.113
4745,25,185.42,79.3786,26,3.8,0.7,1.3,0.6,0.013,0.061,0.16,0.566,0.21
4746,28,203.2,101.151016,71,24.6,5.3,6.5,8.8,0.025,0.143,0.347,0.515,0.353
4747,25,187.96,81.64656,77,18.6,3.2,5.5,10.1,0.017,0.101,0.273,0.572,0.307
4748,21,205.74,102.0582,46,3.9,1.8,0.5,-11.7,0.072,0.108,0.161,0.533,0.068
4749,23,205.74,113.398,81,5.5,5.4,0.5,-8,0.102,0.241,0.159,0.518,0.051
4750,28,208.28,114.758776,14,3,1,0.1,-12,0.063,0.172,0.25,0.556,0.048
4751,26,193.04,81.64656,82,11.1,2.5,2.8,-2.5,0.022,0.075,0.183,0.526,0.141
4752,22,208.28,104.32616,58,3.3,2.3,0.2,-13.5,0.091,0.163,0.128,0.587,0.028
4753,29,180.34,77.11064,42,5.3,1.9,4.4,-5.8,0.013,0.081,0.166,0.363,0.291
4754,25,198.12,97.52228,14,3.2,1.5,0.4,-15.9,0.053,0.121,0.169,0.512,0.055
4755,29,203.2,98.883056,75,15.5,3,3.8,3,0.027,0.075,0.22,0.54,0.183
4756,30,187.96,92.98636,74,16.4,2.9,5.4,-4,0.016,0.076,0.215,0.539,0.249
4757,27,190.5,78.017824,82,6.4,2.1,5,-1,0.011,0.077,0.133,0.491,0.26
4758,30,190.5,95.25432,44,11.3,3.6,3.9,-0.9,0.032,0.121,0.197,0.57,0.223
4759,33,190.5,88.45044,76,18.6,3.5,11.6,11.5,0.014,0.096,0.228,0.654,0.468
4760,24,208.28,99.79024,35,1.5,0.7,0.2,-8.7,0.022,0.136,0.134,0.501,0.055
4761,25,213.36,108.86208,70,6.4,4.8,0.4,-7.4,0.086,0.159,0.134,0.573,0.028
4762,24,205.74,113.398,8,0.6,0.8,0,-23.7,0.036,0.263,0.185,0.282,0
4763,27,205.74,104.32616,54,7.8,4.6,0.3,-10.7,0.098,0.186,0.208,0.517,0.029
4764,24,182.88,74.84268,75,14,3.1,7.9,1.4,0.027,0.093,0.26,0.508,0.448
4765,23,198.12,85.728888,48,7.7,2,0.9,-6.4,0.036,0.083,0.181,0.532,0.068
4766,27,205.74,97.52228,82,14.3,5.2,2.8,6.1,0.057,0.114,0.19,0.534,0.127
